date,stock,action,qty,price
26-10-20,Cash,Deposit,1,1000
27-10-20,Cash,Deposit,1,1000
28-10-20,AAPL,BUY,10,100
29-10-20,TSLA,BUY,10,600
30-10-20,SPY,BUY,10,300
31-10-20,Cash,Rebate,1,2
01-11-20,Cash,Rebate,1,2
02-11-20,Cash,Rebate,1,2
02-11-20,Cash,Deposit,5,5000
03-11-20,AAPL,SELL,-5,120
04-11-20,TSLA,SELL,-2,700
04-11-20,TSLA,BUY,1,1000
05-11-20,AAPL,BUY,10,140
06-11-20,TSLA,BUY,10,800
07-11-20,Cash,Withdraw,1,1000
8-11-20,NFLX,BUY,1,40
9-11-20,NFLX,BUY,4,30
9-11-20,SLV,BUY,7,340
10-11-20,OPTT,BUY,3,200
10-11-20,OPTT,SELL,-1,20
11-11-20,MU,BUY,2,600
12-11-20,Cash,withdraw,1,50
12-11-20,MU,BUY,5,550
13-11-20,Cash,Rebate,1,2
13-11-20,Cash,withdraw,1,20
13-11-20,MU,BUY,10,520
14-11-20,PROG,BUY,5,60
15-11-20,NAVI,BUY,2,100
16-11-20,Cash,Deposit,1,1000
17-11-20,HLBZ,BUY,5,400
17-11-20,PROG,SELL,-1,10
18-11-20,RGS,BUY,4,200
19-11-20,MU,SELL,-1,200
20-11-20,GREE,BUY,10,1000
21-11-20,Cash,Deposit,1,700
22-11-20,Cash,Withdraw,1,130
23-11-20,MU,SELL,-7,70
24-11-20,Cash,Withdraw,1,500
24-11-20,GREE,SELL,-2,300
25-11-20,AAPL,BUY,4,20
26-11-20,SPY,BUY,6,10
26-11-20,SPY,SELL,-2,200
27-11-20,Cash,Deposit,1,1000
28-11-20,Cash,Deposit,1,200
29-11-20,PROG,BUY,10,40
30-11-20,LCID,BUY,5,500
01-12-20,NFLX,SELL,-3,10
01-12-20,LCID,SELL,-2,200
02-12-20,GREE,SELL,-4,200
03-12-20,Cash,Withdraw,1,700
4-12-20,SPY,BUY,8,400
5-12-20,MU,SELL,-2,20
6-12-20,Cash,Rebate,1,2
7-12-20,Cash,Deposit,1,300
8-12-20,AAPL,SELL,-3,50
9-12-20,SLV,BUY,1,100
10-12-20,Cash,Withdraw,1,50
11-12-20,Cash,Rebate,1,2
12-12-20,ITRM,BUY,2,200
13-12-20,EDIT,BUY,9,30
